rmm_name,indicators,matched_files,match_count,guids
RemotePC,C:\Program Files (x86)\RemotePC\*;Idrive.File-Transfer;*\RemotePC\*;remotepcservice.exe;RemotePC.exe;remotepchost.exe;idrive.RemotePCAgent;rpcsuite.exe;*\RemotePCService.exe;RemotePCService.exe,,0,
Manage Engine (Desktop Central),dcagentservice.exe;dcagentregister.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
Faronics Deep Freeze,C:\Program Files\Faronics\Deep Freeze\*;C:\Program Files (x86)\Faronics\Deep Freeze\*;C:\Program Files (x86)\Faronics\Deep Freeze\Install C-0\*;C:\Program Files (x86)\Faronics\Deep Freeze\Install C-1\*;C:\Program Files\Faronics Corporation\Deep Freeze 7.00\*;*\Faronics\Deep Freeze\DFServ.exe;*\Faronics\Deep Freeze\DFServEx.exe;*\Faronics\Deep Freeze\DFWks.exe;*\Faronics\Deep Freeze\DFC.exe;DFServ.exe;DFServEx.exe;DFWks.exe;DFStd.exe;DFStdInstall.exe;DFC.exe;CloudWksInstall.exe;DFInst.exe,,0,
Connectwise Automate (LabTech),ltsvc.exe;ltsvcmon.exe;lttray.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
Tanium,TaniumClient.exe;TaniumCX.exe;TaniumExecWrapper.exe;TaniumFileInfo.exe;TPowerShell.exe,,0,
Naverisk,AgentSetup-*.exe,,0,
PChelpware,*\PcHelpWare_viewer.exe,,0,
Kabuto,Kabuto.App.Runner.exe,,0,
ConnectWise Control,connectwisechat-customer.exe;connectwisecontrol.client.exe;screenconnect.windowsclient.exe,,0,
Netviewer (GoToMeet),NetViewer.exe;nvClient.exe;nvConsole.exe,,0,
Syncthing,C:\Users\*\AppData\Roaming\SyncTrayzor\*;*Users\*\AppData\Roaming\SyncTrayzor\*;*\Syncthing.exe,,0,
GetScreen,C:\ProgramData\Getscreen.me\;C:\Users\*\AppData\Local\Getscreen.me\;C:\Program Files\Getscreen.me\;C:\Users\*\Downloads\getscreen-x86.exe;C:\Users\*\Downloads\getscreen.upd.exe,,0,
RDPView,dwrcs.exe,,0,
rdpwrap,RDPWInst.exe;RDPCheck.exe;RDPConf.exe,,0,
Bitvise SSH Client,C:\Program Files (x86)\Bitvise SSH Client\*;*\Bitvise SSH Client\*;*\BvSshClient-Inst.exe,,0,
ScreenMeet,ScreenMeetSupport.exe;ScreenMeet.Support.exe,,0,
Xpra,C:\Program Files (x86)\Xpra\*;*\Xpra\*;*\Xpra-Launcher.exe;*\Xpra-x86_64_Setup.exe,,0,
EMCO Remote Console,remoteconsole.exe,,0,
Remcos,remcos*.exe,,0,
Ericom AccessNow,accessserver*.exe;accessserver.exe,,0,
Echoware,echoserver*.exe;echoware.dll,,0,
Any Support,ManualLauncher.exe,,0,
Netop Remote Control (aka Impero Connect),nhostsvc.exe;nhstw32.exe;nldrw32.exe;rmserverconsolemediator.exe,,0,
TeamViewer,C:\Program Files\TeamViewer\;teamviewer_desktop.exe;teamviewer_service.exe;teamviewerhost,,0,
Remotely,C:\Program Files\Remotely\Remotely_Agent.exe;C:\Program Files\Remotely\Desktop\Remotely_Desktop.exe;C:\Program Files\Remotely\ConnectionInfo.json;C:\Program Files\Remotely\etag.txt;/usr/local/bin/Remotely/Remotely_Agent;/usr/local/bin/Remotely/Desktop/Remotely_Desktop;/usr/local/bin/Remotely/ConnectionInfo.json;/etc/systemd/system/remotely-agent.service;/Library/LaunchDaemons/remotely-agent.plist,,0,
Royal TS,royalts.exe,,0,
Sophos-Remote Management System,clientmrinit.exe;mgntsvc.exe;routernt.exe,,0,
Jump Cloud,JumpCloud*.exe,,0,
KiTTY,C:\*\kitty.exe;*\kitty.exe,,0,
Tailscale,tailscale-*.exe;tailscaled.exe;tailscale-ipn.exe,,0,
QQ IM-remote assistance,qq.exe;QQProtect.exe;qqpcmgr.exe,,0,
ShellHub,/usr/local/bin/shellhub-agent;/etc/shellhub-agent/*;/etc/systemd/system/shellhub-agent.service;/var/lib/shellhub-agent/*,,0,
Xshell,C:\Program Files (x86)\NetSarang\xShell\*;*\NetSarang\xShell\*;*\xShell.exe,,0,
ISL Light,islalwaysonmonitor.exe;isllight.exe;isllightservice.exe,,0,
AliWangWang-remote-control,alitask.exe,,0,
Acronis Cyber Protect (Remotix),AcronisCyberProtectConnectQuickAssist*.exe;AcronisCyberProtectConnectAgent.exe,,0,
mRemoteNG,mRemoteNG.exe;C:\Program Files (x86)\mRemoteNG\*;*\mRemoteNG\*;*\mRemoteNG.exe;c:\Program Files (x86)%\mRemoteNG;*%\mRemoteNG;mRemoteNG-Installer-*.msi,,0,
SmartFTP,C:\Program Files (x86)\SmartFTP Client\en-US\;*\SmartFTP Client\*;*\SfShellTools.dll.mui,,0,
SecureCRT,C:\*\SecureCRT.EXE;*\SecureCRT.EXE;*\VanDyke Software\ClientPack\*,,0,
Addigy,addigy-*.pkg,,0,
WebRDP,webrdp.exe,,0,
SmarTTY,c:\Program Files (x86)\Sysprogs\SmarTTY\*;*\Sysprogs\SmarTTY\*;*\SmarTTY.exe,,0,
Neturo,neturo*.exe;ntrntservice.exe;neturo.exe,,0,
WinSCP,C:\Users\IEUser\Downloads\WinSCP-5.21.6-Portable\*;*\WinSCP*Portable\*;*\WinSCP.exe;*\WinSCP\*,,0,
LiteManager,lmnoipserver.exe;ROMFUSClient.exe;romfusclient.exe;romviewer.exe;romserver.exe;ROMServer.exe,,0,
NoMachine,nomachine*.exe;nxservice*.ese;nxd.exe,,0,
Alpemix,C:\AlpemixService.exe;C:\AlpemixSrvc\,,0,
MEGAsync,C:\Users\*\AppData\Local\MEGAsync\*;*Users\*\AppData\Local\MEGAsync\*;*ProgramData\MEGAsync\*;*\MEGAsyncSetup64.exe;*\MEGAupdater.exe,,0,
Tactical RMM,tacticalrmm.exe,,0,
Rapid7,ir_agent.exe;rapid7_agent_core.exe;rapid7_endpoint_broker.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
Ericom Connect,EricomConnectRemoteHost*.exe;ericomconnnectconfigurationtool.exe,,0,
Parsec,C:\Program Files\Parsec\*;parsecd.exe;pservice.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
UltraViewer,UltraViewer_Service.exe;UltraViewer_setup*;UltraViewer_Desktop.exe;ultraviewer.exe;C:\Program Files (x86)\UltraViewer\UltraViewer_Desktop.exe;*\UltraViewer\;*\UltraViewer_Desktop.exe;ultraviewer_desktop.exe;ultraviewer_service.exe,,0,
CrossLoop,crossloopservice.exe;CrossLoopConnect.exe;WinVNCStub.exe,,0,
Netviewer,netviewer*.exe;netviewer.exe,,0,
NoteOn-desktop sharing,nateon*.exe;nateon.exe;nateonmain.exe,,0,
SpyAnywhere,sysdiag.exe,,0,
Chrome SSH Extension,C:\Users\*\AppData\Local\Google\Chrome\User Data\Default\Extensions\iodihamcpbpeioajjeobimgagajmlibd*;*Users\*\AppData\Local\Google\Chrome\User Data\Default\Extensions\iodihamcpbpeioajjeobimgagajmlibd*,,0,
Pandora RC (eHorus),ehorus standalone.exe;ehorus_agent.exe,,0,
Instant Housecall,hsloader.exe;InstantHousecall.exe;ihcserver.exe;instanthousecall.exe,,0,
SimpleHelp,simplehelpcustomer.exe;simpleservice.exe;simplegatewayservice.exe;remote access.exe;windowslauncher.exe;spsrv.exe;serviceconfig.xml;C:\ProgramData\JWrapper-Remote Access\*;%APPDATA%\JWrapper-SimpleSetup\*;vhost.exe,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,8,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
Chrome Remote Desktop,remote_host.exe;remoting_host.exe;C:\Program Files (x86)\Google\Chrome Remote Desktop\*;*\Google\Chrome Remote Desktop\*;*\remoting_host.exe,,0,
CloudFlare Tunnel,cloudflared.exe,,0,
FixMe.it,FixMeit Client.exe;TiExpertStandalone.exe;FixMeitClient*.exe;TiExpertCore.exe;FixMeit Unattended Access Setup.exe;FixMeit Expert Setup.exe;fixmeitclient.exe;TiClientCore.exe;TiClientHelper*.exe;9380CC75B872221A7425D7503565B67580407F60,,0,
Splashtop Remote,strwinclt.exe;Splashtop_Streamer_Windows*.exe;SplashtopSOS.exe;sragent.exe;srmanager.exe;srserver.exe;srservice.exe,,0,
RDCMan,*\RDCMan.exe;*\RDCMan-x86.exe,,0,
Mocha VNC Lite,This installs a modified VNC and cannot be blocked by path separate from VNC;*\RealVNC\VNC4\*,,0,
rdp2tcp,tdp2tcp.exe;rdp2tcp.py,,0,
pcAnywhere,awhost32.exe;awrem32.exe;pcaquickconnect.exe;winaw32.exe,,0,
FreeNX,C:\*\nxplayer.exe;*\nxplayer.exe,,0,
SuperPuTTY,C:\Downloads\SuperPuTTY\*;*Downloads\SuperPuTTY\*;*\superputty.exe;*\SuperPuTTY\*,,0,
Pocket Cloud (Wyse),pocketcloud*.exe;pocketcloudservice.exe,,0,
TightVNC,tvnviewer.exe;TightVNCViewerPortable*.exe;tvnserver.exe,,0,
RemoteUtilities,rutview.exe;*\Remote Manipulator System - Server\*;C:\Program Files\Remote Utilities\*;*\Remote Utilities\*;rutserv.exe;*\rutserv.exe,,0,
Apple Remote Desktop,ARDAgent.app,,0,
OptiTune,OTService.exe;OTPowerShell.exe,,0,
GoToAssist (GoTo Resolve),C:\Program Files (x86)\GoTo Resolve Unattended\*;C:\Program Files\GoTo Resolve Unattended\*;GoToResolveExternalModuleHandler.exe;GoToResolveFileManager.exe;GoToResolveLoggerProcess.exe;GoToResolveNetworkChecker.exe;GoToResolveProcessChecker.exe;GoToResolveQuickView.exe;GoToResolveRegistryEditor.exe;GoToResolveRemoteControl.exe;GoToResolveService.exe;GoToResolveServiceManager.exe;GoToResolveTerminal.exe;GoToResolveTools32.exe;GoToResolveTools64.exe;GoToResolveUi.exe;GoToResolveUnattended.exe;GoToResolveUnattendedRemover.exe;GoToResolveUnattendedUi.exe,,0,
Pulseway,PCMonitorManager.exe;pcmonitorsrv.exe,,0,
Syncro,Syncro.Installer.exe;Kabuto.App.Runner.exe;Syncro.Overmind.Service.exe;Kabuto.Installer.exe;KabutoSetup.exe;Syncro.Service.exe;Kabuto.Service.Runner.exe;Syncro.App.Runner.exe;SyncroLive.Service.exe;SyncroLive.Agent.exe,,0,
PSEXEC,psexec.exe;psexec64.exe;psexecsvc.exe,,0,
OCS inventory,ocsinventory.exe;ocsservice.exe,,0,
Impero Connect,ImperoClientSVC.exe,,0,
ShowMyPC,SMPCSetup.exe;showmypc*.exe;showmypc.exe;smpcsetup.exe,,0,
LabTeach (Connectwise Automate),ltsvc.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
MSP360,Online Backup.exe;CBBackupPlan.exe;Cloud.Backup.Scheduler.exe;Cloud.Backup.RM.Service.exe;cbb.exe;CloudRaService.exe;CloudRaSd.exe;CloudRaCmd.exe;CloudRaUtilities.exe;Remote Desktop.exe;Connect.exe;RMM.Agent.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
Duplicati,c:\Program Files\*\Duplicati.Server.exe;*\*\Duplicati.Server.exe,,0,
HelpBeam,helpbeam*.exe,,0,
MeshCentral,meshcentral*.exe;meshagent*.exe;/usr/local/mesh_services/meshagent/meshagent/*;/usr/local/mesh_services/meshagent/*,,0,
Instant Housecall,hsloader.exe;ihcserver.exe;instanthousecall.exe,,0,
Remmon,remmon.exe,,0,
Zabbix Agent,zabbix_agent*.exe,,0,
RES Automation Manager,wisshell*.exe;wmc.exe;wmc_deployer.exe;wmcsvc.exe,,0,
Freshservice,C:\Program Files (x86)\Freshdesk\Freshservice Discovery Agent\*;C:\Program Files (x86)\Freshdesk\Freshservice Discovery Agent\bin\*;C:\Program Files (x86)\Freshdesk\Freshservice Discovery Agent\conf\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\bin\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\conf\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\db\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\nmap\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\tools\ssh\*;C:\Program Files (x86)\Freshworks\FreshServiceProbe\bin\Freshservice.DiscoveryProbe.ScanService.exe;C:\Program Files (x86)\Freshworks\FreshServiceProbe\bin\Freshservice.DiscoveryProbe.Window.exe;C:\Program Files (x86)\Freshworks\FreshServiceProbe\bin\plink.exe;C:\Program Files (x86)\Freshdesk\Freshservice Discovery Agent\FSAgentService.exe;C:\Program Files (x86)\Freshdesk\Freshservice Discovery Agent\FSAgentAutoUpdate.exe;*\FSAgentService.exe;*\FSAgentAutoUpdate.exe;*\FSWmiScanner.exe;*\Freshservice.DiscoveryProbe.Window.exe;*\Freshservice.DiscoveryProbe.ScanService.exe;fs-windows-agent-*.msi;win-installer-*.msi;fs-probe-*.msi;FSAgent.msi,,0,
PSEXEC (Clone),paexec.exe;PAExec-*.exe;csexec.exe;remcom.exe;remcomsvc.exe;xcmd.exe;xcmdsvc.exe,,0,
RdClient,C:\Program Files (x86)\RdClient\*;C:\Program Files\RdClient\*;rdclient.exe;RdClientInstaller.exe;SupportTool.exe,,0,
Distant Desktop,ddsystem.exe;dd.exe;distant-desktop.exe,,0,
Faronics Insight,C:\Program Files\Faronics\Insight Student\*;C:\Program Files\Faronics\Insight Teacher\*;C:\Program Files (x86)\Faronics\Insight Student\*;C:\Program Files (x86)\Faronics\Insight Teacher\*;*\Faronics\Insight Student\STAHelper.exe;*\Faronics\Insight Teacher\STAHelper.exe;*\Faronics\Insight Student\FIStudentSvc.exe;*\Faronics\Insight Student\FIStudentAgent.exe;*\Faronics\Insight Student\FIStudentUI.exe;FIStudentAgent.exe;FIStudentSvc.exe;FIStudentUI.exe;STAHelper.exe;StudentSvc.exe;InsightInstaller.exe;InsightInstallerStudent.exe;InsightInstallerTeacher.exe;InsightSetup.msi,,0,
N-Able Advanced Monitoring Agent,BASupSrvc.exe;winagent.exe;BASupApp.exe;BASupTSHelper.exe;Agent_*_RW.exe;BASEClient.exe;BASupSrvcCnfg.exe,,0,
Senso.cloud,SensoClient.exe;SensoService.exe;aadg.exe,,0,
MobaXterm,C:\*\MobaXterm_installer_12.1.msi;*\MobaXterm_installer_*.msi;*\Mobatek\MobaXterm\*,,0,
Centurion,ctiserv.exe,,0,
PuTTY Tray,C:\*\puttytray.exe;*\puttytray.exe,,0,
Devolutions Remote Desktop Manager,C:\Program Files\Devolutions\Remote Desktop Manager;*\RemoteDesktopManager.exe,,0,
LabTech RMM (Now ConnectWise Automate),ltsvc.exe;ltsvcmon.exe;lttray.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
ZeroTier,zerotier*.msi;zerotier*.exe;zero-powershell.exe,,0,
